fixed,en_professional,en_student,characteristic_1,characteristic_2,characteristic_3,characteristic_4,characteristic_5,
Fixed,I like watching documentaries about animals and nature.,I like watching documentaries about animals and nature.,Naturalistic Intelligence - 56dfcf85ef8cc338730548f3,,,,,
Fixed,I like to push myself to my limits because it gives me a thrill.,I like to push myself to my limits because it gives me a thrill.,Adventurous Nature - 56dfcf85ef8cc338730548fc,,,,,
Fixed,"When a friend is sick, I am sincerely interested in the details of his or her health (symptoms, pain, problems, etc.).","When a friend is sick, I am sincerely interested in the details of his or her health (symptoms, pain, problems, etc.).",Healing Nature - 56dfcf85ef8cc338730548f7,,,,,
Fixed,I like to analyze people or characters in books or movies and why they think and behave as they do.,I like to analyze people or characters in books or movies and why they think and behave as they do.,Intrapersonal Intelligence - 56dfcf85ef8cc338730548f2,,,,,
Fixed,"In a bookstore, I like to spend more time in the section of personal development, philosophy, psychology, etc.","In a bookstore, I like to spend more time in the section of personal development, philosophy, psychology, etc.",Intrapersonal Intelligence - 56dfcf85ef8cc338730548f2,,,,,
Fixed,"When I cannot solve a problem, I like to walk around to help me think.","When I cannot solve a problem, I like to walk around to help me think.",Bodily Gross Intelligence - 56dfcf85ef8cc338730548fe,,,,,
Fixed,"When using a computer, I type quickly and accurately.","When using a computer, I type quickly and accurately.",Bodily Fine Intelligence - 56dfcf85ef8cc338730548ec,,,,,
Fixed,"I can easily draw a straight line, even without a ruler.","I can easily draw a straight line, even without a ruler.",Bodily Fine Intelligence - 56dfcf85ef8cc338730548ec,,,,,
Fixed,I find it easy to explain a complex topic and get others to understand it.,I am able to explain difficult topics and make them clear even to the weakest students.,Educative Nature - 56dfcf85ef8cc338730548f5,,,,,
Fixed,"I can quickly read and interpret tables, charts or graphics.","I can quickly read and interpret tables, charts or graphics. ",Logical Intelligence - 56dfcf85ef8cc338730548ee,,,,,
Fixed,I can take something ordinary and express it in an exaggerated way--exciting or dramatic.,I can take something ordinary and express it in an exaggerated way--exciting or dramatic.,Entertaining Nature - 56dfcf85ef8cc338730548f9,,,,,
Fixed,I have always had an ability for learning languages and would find it easy to learn a new one if I wanted to.,I easily learn foreign languages.,Linguistic Intelligence - 56dfcf85ef8cc338730548ef,,,,,
Fixed,"I'm good at crossword puzzles and other word games (anagrams, word search, etc.).","I'm good at crossword puzzles and other word games (anagrams, word search, etc.).",Linguistic Intelligence - 56dfcf85ef8cc338730548ef,,,,,
Fixed,"To celebrate the birthday of a family member or friend in an original way, I could come up with many ideas.","To celebrate the birthday of a family member or friend in an original way, I could come up with many ideas.",Creative Nature - 56dfcf85ef8cc338730548f8,,,,,
Fixed,"If I were invited to try a sport such as skydiving or bungee jumping, I would do so without hesitation.","If I were invited to try a sport such as skydiving or bungee jumping, I would do so without hesitation.",Adventurous Nature - 56dfcf85ef8cc338730548fc,,,,,
Fixed,"When something upsets me or makes me angry, I take the time to analyze my thoughts and feelings.","When something upsets me or makes me angry, I take the time to analyze my thoughts and feelings.",Intrapersonal Intelligence - 56dfcf85ef8cc338730548f2,,,,,
Fixed,"If I participated in an exercise class, I could easily perform the movements taught by the instructor.","If I participated in an exercise class, I could easily perform the movements taught by the instructor.",Bodily Gross Intelligence - 56dfcf85ef8cc338730548fe,,,,,
Fixed,"I'm good with my hands for tasks such as cutting with scissors, tying shoelaces, using a knife or folding clothes.","I'm good with my hands for tasks such as cutting with scissors, tying shoelaces, using a knife or folding clothes.",Bodily Fine Intelligence - 56dfcf85ef8cc338730548ec,,,,,
Fixed,"As soon as I learn something new, I am eager to explain it to someone else.","As soon as I learn something new, I am eager to explain it to someone else.",Educative Nature - 56dfcf85ef8cc338730548f5,,,,,
Fixed,I like to read about successful companies and how their leaders achieved success.,I like to read about successful companies and how their leaders achieved success.,Entrepreneurial Nature - 56dfcf85ef8cc338730548fb,,,,,
Fixed,"When I have to explain something to someone, I find good examples to illustrate the idea clearly.","When I have to explain something to someone, I find good examples to illustrate the idea clearly.",Educative Nature - 56dfcf85ef8cc338730548f5,,,,,
Fixed,"If I had to prepare a meal for someone, I would make sure to find what he or she likes to eat and would prepare it with pleasure.","If I had to prepare a meal for someone, I would make sure to find what he or she likes to eat and would prepare it with pleasure.",Providing Nature - 56dfcf85ef8cc338730548fa,,,,,
Fixed,"When food comes to the table, I make sure that everyone else is served before serving myself.","When food comes to the table, I make sure that everyone else is served before serving myself.",Providing Nature - 56dfcf85ef8cc338730548fa,,,,,
Fixed,"If I had some extra money, I would invest it in shares rather than putting it in a safer, lower-paying method of investment.","Given a chance, I would make my own chemistry experiments, just to see what would happen if I mixed different things.",Adventurous Nature - 56dfcf85ef8cc338730548fc,,,,,
Fixed,I often find original and unusual ideas to solve a problem.,"If I were given an object such as a brick, I could find many ways to use it for different purposes.",Creative Nature - 56dfcf85ef8cc338730548f8,,,,,
Fixed,"I can always tell which way is North, South, East or West.",I'm good at geometry.,Visual Spatial Intelligence - 56dfcf85ef8cc338730548fd,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
